2020-08-06 22:33:51 status unpacked libcom-err2:amd64 1.44.1-1
2020-08-06 22:33:51 status unpacked libcom-err2:amd64 1.44.1-1
2020-08-06 22:33:51 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2020-08-06 22:33:51 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-08-06 22:33:51 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-08-06 22:33:51 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-08-06 22:33:51 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2020-08-06 22:33:51 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2020-08-06 22:33:51 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-08-06 22:33:51 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-08-06 22:33:51 install libext2fs2:amd64 <none> 1.44.1-1
2020-08-06 22:33:51 status half-installed libext2fs2:amd64 1.44.1-1
2020-08-06 22:33:51 status unpacked libext2fs2:amd64 1.44.1-1
2020-08-06 22:33:51 status unpacked libext2fs2:amd64 1.44.1-1
2020-08-06 22:33:51 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:33:51 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:33:51 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:33:51 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:33:51 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2020-08-06 22:33:51 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2020-08-06 22:33:51 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-08-06 22:33:51 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-08-06 22:33:51 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2020-08-06 22:33:51 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2020-08-06 22:33:51 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-08-06 22:33:51 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-08-06 22:33:51 install libgpg-error0:amd64 <none> 1.27-6
2020-08-06 22:33:51 status half-installed libgpg-error0:amd64 1.27-6
2020-08-06 22:33:51 status unpacked libgpg-error0:amd64 1.27-6
2020-08-06 22:33:51 status unpacked libgpg-error0:amd64 1.27-6
2020-08-06 22:33:51 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2020-08-06 22:33:51 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2020-08-06 22:33:51 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-08-06 22:33:51 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-08-06 22:33:51 install liblzma5:amd64 <none> 5.2.2-1.3
2020-08-06 22:33:51 status half-installed liblzma5:amd64 5.2.2-1.3
2020-08-06 22:33:51 status unpacked liblzma5:amd64 5.2.2-1.3
2020-08-06 22:33:51 status unpacked liblzma5:amd64 5.2.2-1.3
2020-08-06 22:33:51 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
